index,year,topic,prob,prob,prob,prob
,,,mean,median,std,count
152,1999,2,0.21345077725973996,0.17497475445270538,0.1663818990459548,33
153,1999,3,0.1622341592368242,0.13554087281227112,0.12373593362104797,37
154,1999,4,0.34974958649319077,0.30472296476364136,0.1878316269803556,72
155,1999,5,0.3313660545008523,0.332167387008667,0.18925730675197203,70
156,1999,6,0.19678779604027466,0.1621132642030716,0.12665268209512787,49
157,1999,7,0.041577366553246974,0.03249568771570921,0.025852627881790827,10
158,1999,8,0.1650030439098676,0.15148628503084183,0.11135081000388757,42
159,1999,9,0.03141188551671803,0.03061051294207573,0.0131147259293044,8
160,2000,0,0.36674334428140093,0.550000011920929,0.2303301278351177,21
161,2000,1,0.03969949346390508,0.05000000074505806,0.015495544231188152,21
162,2000,2,0.2743658298840288,0.23939257860183716,0.22646487831211307,61
163,2000,3,0.09696301958850913,0.0511152520775795,0.08423081633256947,37
164,2000,4,0.21603069019814333,0.1679064780473709,0.17835220110565994,54
165,2000,5,0.22659817704787621,0.19365306198596954,0.16057700415390172,65
166,2000,6,0.21979993386346786,0.19513940811157227,0.1551004224613546,61
167,2000,7,0.04296944684095003,0.05000000074505806,0.011855619063316369,22
168,2000,8,0.14324911262978007,0.1041312925517559,0.11365250325892329,54
169,2000,9,0.04012391201796986,0.05000000074505806,0.014211459387592773,21
170,2001,0,0.1104173086307667,0.06085949018597603,0.14031159752499126,27
171,2001,1,0.7690067779108444,0.9812042713165283,0.3950698311867265,68
172,2001,2,0.1596994192724855,0.1458389088511467,0.1187938418785388,58
173,2001,3,0.12547054824729761,0.09954908490180969,0.08070485013296284,42
174,2001,4,0.3373747921299816,0.3424951136112213,0.16933859261467188,101
175,2001,5,0.3075747936520548,0.26497605443000793,0.19600725201213068,84
176,2001,6,0.22494360257246315,0.18903793394565582,0.18239986313443302,73
177,2001,7,0.046009544460546406,0.05000000074505806,0.031427730319537266,21
178,2001,8,0.1344007805133095,0.11349217593669891,0.09432776769375452,65
179,2001,9,0.024749250543352804,0.02037038281559944,0.01428993588714021,19
180,2002,0,0.10242989540777424,0.045194923877716064,0.15720089567368928,11
181,2002,1,0.8944681773625188,0.9811426401138306,0.2657236920581592,59
182,2002,2,0.20800903405655513,0.15798793733119965,0.1532916678821463,22
183,2002,3,0.09497715542583089,0.07085738331079483,0.06982780417299433,19
184,2002,4,0.3026392619040879,0.28530681133270264,0.17185682559029997,33
185,2002,5,0.2548911002278328,0.18042127788066864,0.17304923902560915,25
186,2002,6,0.21121042094158907,0.14383304119110107,0.1886744629666898,27
187,2002,7,0.023924275146176417,0.02000404428690672,0.01274305500721397,12
188,2002,8,0.17336453091014514,0.12585442513227463,0.16248017985071958,22
189,2002,9,0.03603294365765417,0.02266942895948887,0.029070400877484137,17
190,2003,0,0.06900228334492758,0.04633552208542824,0.06108513761720457,19
191,2003,1,0.8703165731721503,0.9830699861049652,0.3068203175213741,68
192,2003,2,0.2672906589011351,0.21328425407409668,0.19362330964636099,75
193,2003,3,0.1145961556900689,0.0853314995765686,0.11365196276804071,47
194,2003,4,0.35803972118858085,0.32683277130126953,0.19784975484204456,92
195,2003,5,0.28770797681308496,0.2421923577785492,0.17133318885129814,76
196,2003,6,0.24205246244710457,0.2177688628435135,0.15781414041683248,79
197,2003,7,0.04568410315550864,0.031178862787783146,0.0440080201174325,12
198,2003,8,0.19613708312121722,0.17518965899944305,0.14236871241011276,65
199,2003,9,0.02868526941165328,0.02386131975799799,0.026342547974144537,20
200,2004,0,0.11488095553297746,0.08006100356578827,0.1041476542731074,19
201,2004,1,0.8596150379731423,0.9764327108860016,0.31326446908219957,90
202,2004,2,0.16581792855607486,0.1374664455652237,0.12486608432343113,67
203,2004,3,0.1259935845352583,0.09294944256544113,0.11732233388302021,59
204,2004,4,0.26506067031775327,0.22889067232608795,0.17707758779894092,68
205,2004,5,0.38571758488579105,0.36563000082969666,0.2132044723414015,111
206,2004,6,0.26367973235155484,0.23163288831710815,0.19542521013664224,103
207,2004,7,0.03455876963941947,0.030555568635463715,0.025222246629358125,23
208,2004,8,0.1658920146045134,0.15456827729940414,0.10682261447817579,66
209,2004,9,0.03293489070179371,0.02457746583968401,0.030925594051268757,26
210,2005,0,0.10489274904524025,0.043366022408008575,0.12685149005311358,19
211,2005,1,0.9002216816456481,0.978454202413559,0.25607450886900696,88
212,2005,2,0.19602236151695251,0.1762111783027649,0.13384360794157807,59
213,2005,3,0.10187484762601313,0.07498672604560852,0.08002148845360446,31
214,2005,4,0.34518262976780534,0.34590916335582733,0.19794834334799008,96
215,2005,5,0.2925523730779165,0.26543934643268585,0.18950330006481653,76
216,2005,6,0.22526245315030619,0.19575213640928268,0.18228257413159937,74
217,2005,7,0.029685950483239833,0.021233225241303444,0.01771840418360243,21
218,2005,8,0.17272609389829832,0.14988349378108978,0.12952810474860074,61
219,2005,9,0.03315994816903885,0.029755866155028343,0.021377911615802013,26
220,2006,0,0.09208289235301897,0.058025579899549484,0.09524910649406078,141
221,2006,1,0.543646777688547,0.9549499750137329,0.47531870317411257,131
222,2006,2,0.21083555779456198,0.17632685601711273,0.149369141676615,333
223,2006,3,0.1584991673211845,0.1252925843000412,0.12818329705663928,228
224,2006,4,0.19616720415855737,0.1408921405673027,0.168975491819201,274
225,2006,5,0.39163659704955667,0.3713359832763672,0.21061233121956327,507
226,2006,6,0.27077799080017145,0.21602697670459747,0.19476446924335736,409
227,2006,7,0.0427684879276095,0.0277679692953825,0.040423224907559466,97
228,2006,8,0.183666796592361,0.14433877915143967,0.13849186925494586,364
229,2006,9,0.0379072019426399,0.02467222884297371,0.03290771886946252,83
230,2007,0,0.08411210666721065,0.026585251092910767,0.1459531777373656,6
231,2007,1,0.9274317481335295,0.9756011366844177,0.19875397821819726,89
232,2007,2,0.3073920612888677,0.3197742700576782,0.16000753407662074,28
233,2007,3,0.07438170770183206,0.06849474459886551,0.0588831940269029,24
234,2007,4,0.34874624578702834,0.34191134572029114,0.18600426453396934,31
235,2007,5,0.12614701297735015,0.1011267602443695,0.1028911290477677,31
236,2007,6,0.11465924035976915,0.07079426199197769,0.1371454499260297,17
237,2007,7,0.022745108293990294,0.01805308274924755,0.012207111214662858,15
238,2007,8,0.11325666486906509,0.09298321604728699,0.08548954688784226,24
239,2007,9,0.01959052566310455,0.016990074887871742,0.008933988472190709,29
240,2008,0,0.0867097777001367,0.055830344557762146,0.08176651025405055,232
241,2008,1,0.3255072181922092,0.029335527680814266,0.43905138302865304,198
242,2008,2,0.19591224836454965,0.16244376450777054,0.14397940844433546,484
243,2008,3,0.12989638850591717,0.09520617872476578,0.11151734475008834,351
244,2008,4,0.22126771602779627,0.16525013744831085,0.17757201445385784,426
245,2008,5,0.34114191771208585,0.3220091462135315,0.18526967155956786,637
246,2008,6,0.23553957985678395,0.20383328944444656,0.16591762121700343,522
247,2008,7,0.03089661250608818,0.024040961638092995,0.023414074367223727,192
248,2008,8,0.16465374447489525,0.1360214799642563,0.1148572036766084,531
249,2008,9,0.02387426982628193,0.01866045966744423,0.018234904659476105,167
250,2009,0,0.13937837246339768,0.046143705025315285,0.20452223041301934,16
251,2009,1,0.9116285050807235,0.9708021879196167,0.21881977432255645,104
252,2009,2,0.25642731150146575,0.284130796790123,0.1866315078327032,40
253,2009,3,0.0879975448955189,0.05243827775120735,0.07713363328357879,22
254,2009,4,0.2868645013818009,0.2936505675315857,0.17596652629060552,44
255,2009,5,0.17831078317107224,0.10605645179748535,0.17692340128153575,41
256,2009,6,0.09049599552809288,0.07481739670038223,0.07538111066334816,33
257,2009,7,0.023554261445122605,0.01688919961452484,0.016477592640802112,17
258,2009,8,0.13351300427069265,0.0978822223842144,0.11671385931309045,30
